record_id	kind	outer	hot	user_us	wifi_us	connect_us	txdone_us	teardown_us	sleep_elapsed_us	sleep_overhead_us	app_entry_us	cb_seen	cb_timeout	brownout	auth	seq
44	2	1	43	230278	218681	118721	10817	64818	3040681	40681	5424	1	0	0	3	45
45	2	1	44	240272	228672	133232	13735	63213	3040701	40701	5424	1	0	0	3	46
46	2	1	45	250257	238654	138375	12658	63576	3040689	40689	5424	1	0	0	3	47
47	2	1	46	230273	218668	132611	11842	55103	3040703	40703	5424	1	0	0	3	48
48	2	1	47	270275	258666	149979	6058	80949	3040741	40741	5424	1	0	0	3	49
49	2	1	48	250277	238665	126814	14677	82147	3040749	40749	5424	1	0	0	3	50
50	2	1	49	230277	218662	119817	12076	64876	3040724	40724	5424	1	0	0	3	51
51	2	1	50	240277	228659	140980	8264	58739	3040710	40710	5424	1	0	0	3	52
52	1	2	0	3639803	3639803	0	0	0	3040781	40781	5424	0	0	0	0	53
53	2	2	1	230263	218640	140568	546	56445	3040708	40708	5424	1	0	0	3	54
54	2	2	2	310276	298650	131453	125	146909	3040747	40747	5424	1	0	0	3	55
55	2	2	3	310275	298646	188526	6246	79498	3040760	40760	5424	1	0	0	3	56
56	2	2	4	250277	238645	133688	6618	79029	3040737	40737	5424	1	0	0	3	57
57	2	2	5	250273	238638	123838	17539	79251	3040723	40723	5424	1	0	0	3	58
58	2	2	6	220275	208637	124152	12230	54725	3040696	40696	5424	1	0	0	3	59
59	2	2	7	270263	258624	144756	17661	79254	3040724	40724	5424	1	0	0	3	60
60	2	2	8	240277	228633	122446	14140	72698	3040717	40717	5424	1	0	0	3	61
61	2	2	9	250277	238630	131405	10028	76925	3040742	40742	5424	1	0	0	3	62
62	2	2	10	250279	238630	129248	11236	74458	3040703	40703	5424	1	0	0	3	63
63	2	2	11	240263	228612	123207	17667	69140	3040633	40633	5424	1	0	0	3	64
64	2	2	12	230275	218620	123487	12321	64629	3040710	40710	5424	1	0	0	3	65
65	2	2	13	260275	248617	140899	11375	74329	3040709	40709	5424	1	0	0	3	66
66	2	2	14	240277	228616	125233	13865	72946	3040717	40717	5424	1	0	0	3	67
67	2	2	15	300273	288609	129551	8672	126963	3040730	40730	5424	1	0	0	3	68
68	2	2	16	240274	228746	130403	533	76508	3040724	40724	5424	1	0	0	3	69
69	2	2	17	250274	238741	132630	556	86485	3040731	40731	5424	1	0	0	3	70
70	2	2	18	290275	278739	184773	13481	63324	3040723	40723	5424	1	0	0	3	71
71	2	2	19	260273	248734	141919	10008	76921	3040735	40735	5424	1	0	0	3	72
72	2	2	20	230273	218732	129083	7594	58110	3040744	40744	5424	1	0	0	3	73
73	2	2	21	250276	238733	122482	126	96918	3040724	40724	5424	1	0	0	3	74
74	2	2	22	270275	258728	158340	1293	75710	3040753	40753	5424	1	0	0	3	75
75	2	2	23	220277	208727	121934	12195	54758	3040670	40670	5424	1	0	0	3	76
76	2	2	24	250275	238722	147248	14159	62645	3040738	40738	5424	1	0	0	3	77
77	2	2	25	300275	288719	144260	16166	110720	3040773	40773	5424	1	0	0	3	78
78	2	2	26	300277	288718	193419	11384	65438	3040763	40763	5424	1	0	0	3	79
79	2	2	27	240273	228711	143914	10779	56164	3040767	40767	5424	1	0	0	3	80
80	2	2	28	270273	258710	151563	8908	76773	3040715	40715	5424	1	0	0	3	81
81	2	2	29	240275	228707	125173	13280	73524	3040753	40753	5424	1	0	0	3	82
82	2	2	30	240277	228707	132767	13403	63406	3040723	40723	5424	1	0	0	3	83
83	2	2	31	240275	228703	140902	3867	61772	3040708	40708	5424	1	0	0	3	84
84	2	2	32	250275	238699	146435	15327	61386	3040724	40724	5424	1	0	0	3	85
86	2	2	34	1090297	1078716	233982	100004	726942	3040815	40815	5424	0	1	0	3	87
88	2	2	36	260273	248685	137716	21258	75677	3040724	40724	5424	1	0	0	3	89
89	2	2	37	250266	238675	141839	4209	72786	3040731	40731	5424	1	0	0	3	90
90	2	2	38	240281	228687	119324	8775	76938	3040780	40780	5424	1	0	0	3	91
91	2	2	39	230277	218681	128921	9464	57488	3040730	40730	5424	1	0	0	3	92
92	2	2	40	260275	248677	146891	15193	71726	3040737	40737	5424	1	0	0	3	93
93	2	2	41	270273	258671	133349	22546	84246	3040692	40692	5424	1	0	0	3	94
94	2	2	42	330277	318672	214803	11605	75349	3040759	40759	5424	1	0	0	3	95
95	2	2	43	260277	248669	130950	10860	86088	3040726	40726	5424	1	0	0	3	96
96	2	2	44	280271	268660	123140	8609	118329	3040759	40759	5424	1	0	0	3	97
97	2	2	45	310275	298662	189280	11111	75840	3040751	40751	5424	1	0	0	3	98
98	2	2	46	250273	238656	127953	18060	78738	3040699	40699	5424	1	0	0	3	99
99	2	2	47	250275	238655	120096	9218	86547	3040709	40709	5424	1	0	0	3	100
103	1	3	0	4309804	4309804	0	0	0	3040875	40875	5424	0	0	0	0	104
104	2	3	1	230270	218636	121576	4004	73025	3040744	40744	5424	1	0	0	3	105
105	2	3	2	240274	228637	127416	220	86815	3040758	40758	5424	1	0	0	3	106
106	2	3	3	250251	238611	132674	2411	84605	3040736	40736	5424	1	0	0	3	107
107	2	3	4	250274	238631	130160	188	86853	3040709	40709	5424	1	0	0	3	108
108	2	3	5	240274	228628	143671	3635	63390	3040744	40744	5424	1	0	0	3	109
109	2	3	6	340275	328626	177858	21621	115303	3040742	40742	5424	1	0	0	3	110
110	2	3	7	260274	248622	132215	10277	86765	3040717	40717	5424	1	0	0	3	111
111	2	3	8	250274	238620	131650	203	86838	3040724	40724	5424	1	0	0	3	112
112	2	3	9	230270	218613	123849	4235	72794	3040765	40765	5424	1	0	0	3	113
113	2	3	10	260274	248614	139627	135	86906	3040767	40767	5424	1	0	0	3	114
114	2	3	11	310277	298614	185450	18384	78544	3040758	40758	5424	1	0	0	3	115
115	2	3	12	230281	218615	126423	12344	64462	3040756	40756	5424	1	0	0	3	116
116	2	3	13	260277	248608	135076	18761	78167	3040740	40740	5424	1	0	0	3	117
117	2	3	14	230275	218603	128101	3799	61925	3040741	40741	5424	1	0	0	3	118
118	2	3	15	260262	248587	154729	11707	65278	3040720	40720	5424	1	0	0	3	119
119	2	3	16	260275	248597	132881	17700	79244	3040772	40772	5424	1	0	0	3	120
121	2	3	18	1310300	1298616	210088	100002	966983	3040825	40825	5424	0	1	0	3	122
122	2	3	19	230256	218569	142061	375	56650	3040734	40734	5424	1	0	0	3	123
123	2	3	20	330278	318589	209785	7170	78537	3040780	40780	5424	1	0	0	3	124
124	2	3	21	250279	238588	131115	6538	79164	3040738	40738	5424	1	0	0	3	125
125	2	3	22	250257	238563	131389	16367	70620	3040737	40737	5424	1	0	0	3	126
126	2	3	23	240273	228575	120336	11299	75594	3040747	40747	5424	1	0	0	3	127
127	2	3	24	250280	238579	129844	7922	77720	3040722	40722	5424	1	0	0	3	128
128	2	3	25	300274	288596	178108	125	86922	3040788	40788	5424	1	0	0	3	129
129	2	3	26	250274	238741	137761	128	86913	3040712	40712	5424	1	0	0	3	130
130	2	3	27	300279	288743	173848	17638	79294	3040742	40742	5424	1	0	0	3	131
131	2	3	28	330270	318732	196577	3700	103321	3040781	40781	5424	1	0	0	3	132
132	2	3	29	1370258	1358717	1293093	1323	45723	3040859	40859	5424	1	0	0	3	133
133	2	3	30	280272	268696	142366	126	106915	3040719	40719	5424	1	0	0	3	134
134	2	3	31	240276	228661	122472	12296	74540	3040751	40751	5424	1	0	0	3	135
135	2	3	32	240273	228656	130570	14056	62551	3040748	40748	5424	1	0	0	3	136
136	2	3	33	260265	248645	138822	6583	79096	3040726	40726	5424	1	0	0	3	137
137	2	3	34	250278	238654	128801	8549	77110	3040732	40732	5424	1	0	0	3	138
138	2	3	35	240276	228649	125411	15308	71492	3040667	40667	5424	1	0	0	3	139
139	2	3	36	230276	218647	123751	13216	63589	3040758	40758	5424	1	0	0	3	140
140	2	3	37	280278	268646	151513	14066	82936	3040731	40731	5424	1	0	0	3	141
141	2	3	38	240275	228640	141346	127	66906	3040765	40765	5424	1	0	0	3	142
142	2	3	39	240272	228634	121244	14541	72075	3040730	40730	5424	1	0	0	3	143
143	2	3	40	230258	218617	125377	127	76890	3040727	40727	5424	1	0	0	3	144
144	2	3	41	340276	328632	141141	79052	87741	3040779	40779	5424	1	0	0	3	145
145	2	3	42	270277	258631	156626	15887	71033	3040734	40734	5424	1	0	0	3	146
146	2	3	43	260277	248628	128394	16115	80696	3040731	40731	5424	1	0	0	3	147
147	2	3	44	240278	228625	119164	8275	78679	3040747	40747	5424	1	0	0	3	148
148	2	3	45	230276	218622	128045	2837	74207	3040755	40755	5424	1	0	0	3	149
149	2	3	46	220275	208617	121258	125	66916	3040751	40751	5424	1	0	0	3	150
150	2	3	47	240275	228614	124824	1138	85904	3040683	40683	5424	1	0	0	3	151
151	2	3	48	250270	238607	142738	5138	71893	3040785	40785	5424	1	0	0	3	152
152	2	3	49	250270	238604	128270	14754	72276	3040727	40727	5424	1	0	0	3	153
153	2	3	50	240275	228605	125544	545	86495	3040723	40723	5424	1	0	0	3	154
154	1	4	0	3599804	3599804	0	0	0	3040743	40743	5424	0	0	0	0	155
155	2	4	1	330274	318599	219698	7892	68716	3040780	40780	5424	1	0	0	3	156
156	2	4	2	280260	268581	157703	879	96138	3040736	40736	5424	1	0	0	3	157
157	2	4	3	300276	288594	193637	12696	64022	3040702	40702	5424	1	0	0	3	158
158	2	4	4	260276	248593	136570	17074	79863	3040748	40748	5424	1	0	0	3	159
159	2	4	5	250264	238577	125102	16108	80803	3040747	40747	5424	1	0	0	3	160
160	2	4	6	290277	278587	123568	13581	123339	3040786	40786	5424	1	0	0	3	161
161	2	4	7	250277	238584	133275	250	86796	3040741	40741	5424	1	0	0	3	162
162	2	4	8	360252	348581	239275	17926	69091	3040737	40737	5424	1	0	0	3	163
163	2	4	9	260272	248851	136106	11038	85989	3040752	40752	5424	1	0	0	3	164
164	2	4	10	280277	268855	162473	11854	74974	3040734	40734	5424	1	0	0	3	165
165	2	4	11	250277	238855	130558	12111	73552	3040723	40723	5424	1	0	0	3	166
166	2	4	12	250275	238852	125505	19219	77706	3040719	40719	5424	1	0	0	3	167
170	2	4	16	250277	238850	129439	10975	75834	3040719	40719	5424	1	0	0	3	171
171	2	4	17	330279	318852	128984	79330	86342	3040787	40787	5424	1	0	0	3	172
172	2	4	18	220272	208844	117886	12151	64876	3040744	40744	5425	1	0	0	3	173
173	2	4	19	240273	228845	128447	232	76808	3040730	40730	5424	1	0	0	3	174
174	2	4	20	410275	398845	182873	13281	183522	3040761	40761	5424	1	0	0	3	175
175	2	4	21	220267	208836	124605	864	66152	3040737	40737	5424	1	0	0	3	176
176	2	4	22	320275	308844	148278	22348	124576	3040779	40779	5424	1	0	0	3	177
178	2	4	24	280279	268846	162134	5943	81064	3040741	40741	5424	1	0	0	3	179
179	2	4	25	240275	228841	118465	10761	76189	3040666	40666	5424	1	0	0	3	180
180	2	4	26	300273	288839	119039	71516	75296	3040734	40734	5424	1	0	0	3	181
181	2	4	27	250272	238836	133939	9906	77117	3040759	40759	5424	1	0	0	3	182
182	2	4	28	270274	258838	167635	695	76344	3040740	40740	5424	1	0	0	3	183
183	2	4	29	270280	258842	149743	11183	74457	3040718	40718	5424	1	0	0	3	184
184	2	4	30	240277	228839	119986	14769	72034	3040743	40743	5424	1	0	0	3	185
185	2	4	31	260282	248843	132906	40913	54788	3040762	40762	5424	1	0	0	3	186
186	2	4	32	240274	228834	120704	11553	74091	3040725	40725	5424	1	0	0	3	187
187	2	4	33	240277	228836	125850	12506	74308	3040724	40724	5424	1	0	0	3	188
188	2	4	34	250277	238835	128382	5322	80367	3040750	40750	5424	1	0	0	3	189
189	2	4	35	330270	318828	172681	41360	85673	3040741	40741	5424	1	0	0	3	190
193	2	4	39	300284	288838	180269	6345	79367	3040780	40780	5424	1	0	0	3	194
194	2	4	40	220274	208827	125547	2881	64158	3040746	40746	5424	1	0	0	3	195
195	2	4	41	250272	238824	123230	11825	85211	3040644	40644	5424	1	0	0	3	196
196	2	4	42	270271	258823	140274	11770	84952	3040744	40744	5424	1	0	0	3	197
197	2	4	43	240273	228825	118829	8757	78118	3040711	40711	5424	1	0	0	3	198
198	2	4	44	250275	238825	123677	24211	72729	3040725	40725	5424	1	0	0	3	199
199	2	4	45	240277	228826	117131	19254	77673	3040737	40737	5424	1	0	0	3	200
200	2	4	46	250275	238823	134544	5536	80114	3040731	40731	5424	1	0	0	3	201
201	2	4	47	240275	228823	119772	15291	71511	3040717	40717	5424	1	0	0	3	202
202	2	4	48	320272	308819	161439	39044	87984	3040766	40766	5424	1	0	0	3	203
203	2	4	49	250272	238818	123520	11579	85450	3040786	40786	5424	1	0	0	3	204
204	2	4	50	250274	238819	155909	2421	64620	3040743	40743	5424	1	0	0	3	205
205	1	5	0	3619804	3619804	0	0	0	3040740	40740	5424	0	0	0	0	206
206	2	5	1	240270	228813	126090	9345	77690	3040765	40765	5424	1	0	0	3	207
207	2	5	2	290261	278804	166622	28103	68801	3040737	40737	5424	1	0	0	3	208
208	2	5	3	260273	248816	128562	7977	88685	3040729	40729	5424	1	0	0	3	209
209	2	5	4	220277	208818	126516	3491	63516	3040748	40748	5424	1	0	0	3	210
210	2	5	5	260275	248815	137447	18096	78830	3040758	40758	5424	1	0	0	3	211
212	2	5	7	250277	238815	144582	2232	74711	3040751	40751	5424	1	0	0	3	213
213	2	5	8	250275	238814	128747	4915	80723	3040751	40751	5424	1	0	0	3	214
214	2	5	9	220263	208801	124346	15244	51670	3040736	40736	5424	1	0	0	3	215
215	2	5	10	230276	218812	125444	126	76913	3040757	40757	5424	1	0	0	3	216
216	2	5	11	300275	288810	166141	26352	80570	3040688	40688	5424	1	0	0	3	217
217	2	5	12	250278	238813	155919	2516	64520	3040748	40748	5424	1	0	0	3	218
218	2	5	13	330275	318808	209693	13116	73711	3040726	40726	5424	1	0	0	3	219
219	2	5	14	250269	238801	143207	1664	75267	3040759	40759	5424	1	0	0	3	220
220	2	5	15	240261	228794	124935	20411	66498	3040765	40765	5424	1	0	0	3	221
221	2	5	16	250279	238811	142604	4205	71439	3040732	40732	5424	1	0	0	3	222
222	2	5	17	250277	238807	129185	10616	76187	3040753	40753	5424	1	0	0	3	223
223	2	5	18	240276	228805	130604	12100	63572	3040732	40732	5424	1	0	0	3	224
224	2	5	19	260275	248803	136212	23079	73841	3040718	40718	5424	1	0	0	3	225
225	2	5	20	320270	308823	191929	6002	91038	3040737	40737	5424	1	0	0	3	226
226	2	5	21	250278	238856	121095	4025	93015	3040765	40765	5424	1	0	0	3	227
227	2	5	22	290277	278855	146066	17894	99032	3040737	40737	5424	1	0	0	3	228
228	2	5	23	340279	328856	209744	6947	88748	3040775	40775	5424	1	0	0	3	229
229	2	5	24	240277	228853	116772	23613	73313	3040738	40738	5424	1	0	0	3	230
230	2	5	25	250263	238839	121636	18445	78478	3040744	40744	5424	1	0	0	3	231
231	2	5	26	300274	288849	171045	1303	95736	3040748	40748	5424	1	0	0	3	232
232	2	5	27	300271	288845	179249	6302	80622	3040758	40758	5424	1	0	0	3	233
233	2	5	28	350275	338848	220106	13843	82955	3040751	40751	5424	1	0	0	3	234
234	2	5	29	250271	238843	122074	15759	81045	3040750	40750	5424	1	0	0	3	235
235	2	5	30	230276	218847	113987	1821	85221	3040719	40719	5424	1	0	0	3	236
236	2	5	31	250273	238843	128890	13631	73168	3040765	40765	5424	1	0	0	3	237
237	2	5	32	250275	238845	130668	12835	73767	3040745	40745	5424	1	0	0	3	238
238	2	5	33	230277	218846	133217	4341	61328	3040764	40764	5424	1	0	0	3	239
239	2	5	34	240274	228842	137232	555	76486	3040760	40760	5424	1	0	0	3	240
240	2	5	35	240272	228839	115035	12454	84577	3040731	40731	5424	1	0	0	3	241
241	2	5	36	280276	268843	130251	626	116413	3040731	40731	5424	1	0	0	3	242
242	2	5	37	240276	228842	132048	10183	66729	3040744	40744	5424	1	0	0	3	243
243	2	5	38	250277	238842	127311	21239	75689	3040739	40739	5424	1	0	0	3	244
244	2	5	39	240263	228828	124588	23722	63209	3040744	40744	5424	1	0	0	3	245
245	2	5	40	260278	248841	140426	7506	78197	3040751	40751	5424	1	0	0	3	246
246	2	5	41	450284	438847	219333	4905	192132	3040771	40771	5424	1	0	0	3	247
247	2	5	42	300281	288842	132208	41165	94512	3040747	40747	5424	1	0	0	3	248
252	2	5	47	350277	338836	224828	17020	79927	3040773	40773	5424	1	0	0	3	253
253	2	5	48	260277	248835	124756	17313	89613	3040739	40739	5424	1	0	0	3	254
254	2	5	49	280274	268829	160093	129	86906	3040736	40736	5424	1	0	0	3	255
22	2	1	21	250282	238818	134667	9071	76633	3040776	40776	5424	1	0	0	3	23
85	2	2	33	250270	238715	117085	20491	86537	3040740	40740	5424	1	0	0	3	86
87	2	2	35	260274	248713	136592	3308	93733	3040681	40681	5424	1	0	0	3	88
100	2	2	48	250271	238672	119246	6797	88876	3040751	40751	5424	1	0	0	3	101
101	2	2	49	220275	208674	116943	15615	61325	3040733	40733	5424	1	0	0	3	102
102	2	2	50	250277	238673	135726	19338	67584	3040725	40725	5424	1	0	0	3	103
120	2	3	17	240275	228618	126910	21471	65468	3040724	40724	5424	1	0	0	3	121
168	2	4	14	1270298	1258726	182271	100005	956947	3040815	40815	5424	0	1	0	3	169
169	2	4	15	260273	248698	139840	13711	73227	3040743	40743	5424	1	0	0	3	170
177	2	4	23	250261	238664	134126	14504	72481	3040738	40738	5424	1	0	0	3	178
190	2	4	36	270276	258821	128215	5863	111181	3040730	40730	5424	1	0	0	3	191
191	2	4	37	230270	218811	117599	4822	82207	3040731	40731	5424	1	0	0	3	192
192	2	4	38	280277	268815	134606	39777	77140	3040761	40761	5424	1	0	0	3	193
211	2	5	6	250262	238745	141789	12793	64145	3040732	40732	5424	1	0	0	3	212
248	2	5	43	300274	288650	190128	3367	73658	3040704	40704	5424	1	0	0	3	249
249	2	5	44	290277	278650	184908	11749	65087	3040769	40769	5424	1	0	0	3	250
250	2	5	45	260275	248645	144301	25005	61813	3040753	40753	5424	1	0	0	3	251
251	2	5	46	310280	298648	139253	15607	121407	3040775	40775	5424	1	0	0	3	252
167	2	4	13	250275	238686	134105	23080	63839	3040767	40767	5424	1	0	0	3	168
